# DAY, BCHAIN/MKPRU, BCHAIN/MWNTD, BCHAIN/AVBLS, BCHARTS/KRAKENEUR, BCHAIN/NTRBL, BCHAIN/ETRAV, BCHAIN/MKTCP, BCHAIN/TRFUS, BCHAIN/HRATE, BCHARTS/BITSTAMPUSD, BCHAIN/DIFF, BCHAIN/MIREV, BCHAIN/ATRCT, BCHAIN/CPTRA, BCHAIN/NTREP, BCHAIN/NADDU, BCHAIN/TOTBC
127.00000000,4580.38748000,53020.00000000,0.80900102,4139.07000000,1443.96951220,200475.91684300,75760868525.80000305,1330599.17313000,7240807.04213000,4921.71000000,888171856257.00000000,10374577.64220000,11.02500000,45.26982913,224454.00000000,536081.00000000,16540275.00000000
128.00000000,4648.15998333,43968.00000000,0.76576666,3894.70000000,1268.11038961,171234.72743000,76890792076.30000305,1111538.99211000,6799294.41761000,4599.90000000,888171856257.00000000,9700709.88522000,10.75000000,51.50954206,186748.00000000,437076.00000000,16542200.00000000
129.00000000,4344.09831667,58478.00000000,0.92766078,3921.73000000,1538.74285714,327474.10651300,71870445889.00000000,1413576.89120000,7726470.92910000,4603.68000000,888171856257.00000000,10527922.27040000,11.50000000,40.53881446,255198.00000000,561328.00000000,16544387.50000000
130.00000000,4488.72014000,64429.00000000,0.76356562,3655.24000000,1410.90355330,312706.91971200,74274178848.60000610,1265391.76733000,8697798.70304000,4282.53000000,888171856257.00000000,11928773.77210000,8.82500000,44.32075465,263568.00000000,601576.00000000,16546850.00000000
131.00000000,4641.82201667,65085.00000000,0.90413580,3779.43000000,1705.09259259,290191.55564000,76816932326.10000610,1265360.11530000,7430760.76599000,4397.38000000,903315386419.00000000,10290919.41090000,7.90000000,38.61000887,264180.00000000,587813.00000000,16548875.00000000
132.00000000,4654.65850000,58979.00000000,0.81004132,3903.90000000,1456.67045455,271002.52448300,77039601932.89999390,1197810.24439000,8072925.27664000,4605.81000000,922724699725.00012207,11050159.27900000,11.80000000,44.61473841,244953.00000000,526959.00000000,16551075.00000000
133.00000000,4310.75018333,65736.00000000,0.91318771,3864.10000000,1597.07428571,237606.10579700,71356979356.60000610,938733.63728600,8027056.38302000,4615.00000000,922724699725.00012207,10028960.30150000,8.33333333,37.09819264,265933.00000000,606485.00000000,16553262.50000000
134.00000000,4375.55952000,49335.00000000,0.73173586,3664.60000000,1289.28994083,177865.07807300,72439028688.39999390,633801.61788600,7751843.02132000,4327.41000000,922724699725.00012207,9554034.21192000,7.21666667,45.33099777,208197.00000000,452503.00000000,16555375.00000000
135.00000000,4329.95500000,39777.00000000,0.78420286,3629.20000000,1400.28985507,202190.24353700,71691497930.50000000,620215.91265500,6329907.31918000,4322.44000000,922724699725.00012207,7845878.46000000,12.95000000,41.86187274,184514.00000000,412029.00000000,16557100.00000000
136.00000000,4248.09001667,66927.00000000,0.82935226,3581.10000000,1456.85057471,199829.21737300,70345290810.69999695,678563.69028900,7981187.48940000,4226.21000000,922724699725.00012207,9592187.25763000,7.73333333,39.12612420,243006.00000000,537474.00000000,16559275.00000000
137.00000000,4219.03661667,63428.00000000,0.71123920,3547.00000000,1362.92553191,214844.90570700,69874102306.50000000,628248.11972100,8623352.00004000,4198.89000000,922724699725.00012207,10193192.46590000,8.92500000,41.14656429,245104.00000000,549109.00000000,16561625.00000000
